Price,Close,High,Low,Open,Volume
Ticker,GLAXO.NS,GLAXO.NS,GLAXO.NS,GLAXO.NS,GLAXO.NS
Date,,,,,
2010-12-02,846.15576171875,863.4401884253787,838.0218857769867,860.2335908778593,6034
2010-12-03,833.42724609375,856.4406301744523,821.5979561491936,840.7594506048387,12510
2010-12-06,833.46630859375,848.5803865058574,824.0615160914205,833.3294026009135,102442
2010-12-07,841.1112670898438,844.5134859914542,824.863180031047,825.5083757695442,9714
2010-12-08,839.2929077148438,850.5356199323402,835.0304915322491,850.5356199323402,15860
2010-12-09,833.1533203125,842.2842994209485,813.385682820822,837.513498644835,32234
2010-12-10,835.2259521484375,854.2113935383717,791.5064503279773,854.2113935383717,36568
2010-12-13,843.1837768554688,847.0160940669479,825.195438754324,825.195438754324,11072
2010-12-14,858.904052734375,862.0324595488822,843.8877382133005,843.8877382133005,9948
2010-12-15,857.574462890625,867.3507335574128,852.4908021438954,852.4908021438954,20948
2010-12-16,858.3761596679688,868.1328589661241,854.2505542394135,856.4209054811081,17682
2010-12-20,861.0353393554688,865.7083778486474,845.6865937230228,856.4013486638656,29928
2010-12-21,860.4096069335938,863.440250930292,852.4908274583498,852.4908274583498,31618
2010-12-22,860.8593139648438,864.2028178692044,846.6251010321247,847.0161518871049,47968
2010-12-23,862.3843994140625,864.2223191886468,846.6446037817807,846.6446037817807,53680
2010-12-24,865.0435791015625,870.0880966192468,844.8653180880372,860.311825870716,18348
2010-12-27,870.8310546875,881.5849525069312,864.6133846822772,870.0880962994423,19516
2010-12-28,875.4652099609375,877.9092781071155,862.2672419715767,862.2672419715767,5032
2010-12-29,892.1043090820312,897.4616865479728,872.4344325440206,872.4344325440206,20716
2010-12-30,909.154052734375,914.5897166514027,884.1659424391381,887.6853999720671,55926
2010-12-31,914.0813598632812,924.6397327900443,880.5291779128435,880.5291779128435,47416
2011-01-03,916.07568359375,937.3488098848499,911.2265961721703,916.7794986883906,9016
2011-01-04,918.1092529296875,920.7292746679723,913.1624021346133,913.1624021346133,13924
2011-01-05,931.38525390625,935.393524653616,919.7906357377902,922.8798989057416,18078
2011-01-06,938.6002197265625,941.8851041096824,932.2652151274425,934.5723769259857,17308
2011-01-07,929.4299926757812,938.6001148787572,918.9693837332853,921.7653587760892,11258
2011-01-10,934.6505737304688,952.1891451740717,920.1425505753407,920.1425505753407,33898
2011-01-11,932.1088256835938,942.4325297294154,930.701004463074,938.5220213073015,63352
2011-01-12,935.2764282226562,944.3879333822832,926.8102143376283,926.8102143376283,279666
2011-01-13,916.3690795898438,942.4325814654626,911.539563234852,942.4325814654626,7118
2011-01-14,911.6763916015625,931.8741288022778,901.3721640324172,907.3943086317552,10714
2011-01-17,905.2630615234375,918.9694116294656,899.4168709564982,905.2826331583884,8398
2011-01-18,904.7743530273438,915.4500605682334,901.3722296496275,915.4500605682334,6802
2011-01-19,900.1795654296875,903.3275441475134,889.6407631755814,899.4366069369171,11422
2011-01-20,882.640869140625,911.1484365417202,864.6720070729122,877.5180650642147,9640
2011-01-21,891.8305053710938,893.9421415326156,878.3196809443788,886.1406970557751,7516
